Alpha_deg,H_flat_mm,H_profile_opt_mm,X_profile_opt_mm,Y_ground_opt_mm,Alpha_inverse_opt
44.72945891783567,2044.8199660402272,2044.8199660402272,891.7443938711796,0.0,44.72945891783568
44.90981963927856,2050.281970119062,2050.281970119062,897.9931180074425,0.0,44.90981963927857
45.09018036072145,2055.7242768819415,2055.7242768819415,904.2590049348481,0.0,45.09018036072145
45.270541082164335,2061.146832399996,2061.146832399996,910.541992563511,0.0,45.270541082164335
45.450901803607216,2066.5495829400743,2066.5495829400743,916.8420186340918,0.0,45.450901803607216
45.631262525050104,2071.9324749652765,2071.9324749652765,923.1590207184141,0.0,45.631262525050104
45.81162324649299,2077.2954551354846,2077.2954551354846,929.4929362200825,0.0,45.811623246493006
45.99198396793587,2082.63847030789,2082.63847030789,935.843702375103,0.0,45.99198396793589
46.17234468937876,2087.9614675375233,2087.9614675375233,942.2112562525066,0.0,46.17234468937876
46.35270541082165,2093.2643940777753,2093.2643940777753,948.5955347549698,0.0,46.35270541082166
46.53306613226453,2098.547197380921,2098.547197380921,954.9964746194416,0.0,46.533066132264544
46.71342685370742,2103.8098250986404,2103.8098250986404,961.4140124177723,0.0,46.71342685370742
46.893787575150306,2109.052225082539,2109.052225082539,967.8480845573382,0.0,46.89378757515031
47.07414829659319,2114.27434538466,2114.27434538466,974.2986272816743,0.0,47.07414829659317
47.254509018036075,2119.4761342580055,2119.4761342580055,980.7655766711055,0.0,47.254509018036075
47.43486973947896,2124.6575401570417,2124.6575401570417,987.2488686433788,0.0,47.434869739478955
47.61523046092185,2129.8185117382163,2129.8185117382163,993.7484389543015,0.0,47.61523046092184
47.79559118236473,2134.958997860464,2134.958997860464,1000.2642231983731,0.0,47.79559118236474
47.97595190380762,2140.078947585713,2140.078947585713,1006.7961568094288,0.0,47.975951903807626
48.15631262525051,2145.178310179392,2145.178310179392,1013.3441750612744,0.0,48.15631262525051
48.33667334669339,2150.2570351109307,2150.2570351109307,1019.908213068331,0.0,48.33667334669338
48.517034068136276,2155.3150720542617,2155.3150720542617,1026.4882057862765,0.0,48.51703406813627
48.697394789579164,2160.3523708883185,2160.3523708883185,1033.0840880126907,0.0,48.697394789579164
48.877755511022045,2165.368881697533,2165.368881697533,1039.6957943877007,0.0,48.87775551102205
49.05811623246493,2170.36455477233,2170.36455477233,1046.3232593946302,0.0,49.05811623246494
49.23847695390782,2175.3393406096175,2175.3393406096175,1052.9664173606457,0.0,49.238476953907835
49.41883767535071,2180.2931899132814,2180.2931899132814,1059.6252024574112,0.0,49.418837675350694
49.59919839679359,2185.226053594671,2185.226053594671,1066.2995487017363,0.0,49.599198396793604
49.77955911823648,2190.137882773086,2190.137882773086,1072.9893899562346,0.0,49.77955911823646
49.959919839679365,2195.028628776262,2195.028628776262,1079.694659929975,0.0,49.95991983967938
50.140280561122246,2199.8982431408494,2199.8982431408494,1086.4152921791397,0.0,50.14028056112226
50.320641282565134,2204.746677612899,2204.746677612899,1093.1512201076855,0.0,50.32064128256515
